wan,Three Cycles,Transitivity Triplets,Balance,Reciprocity
strong OFFline,0.298,0.346,0.299,0.468
weak OFFline,0.073,0.360,0.300,0.074
OFFline,0.200,0.302,0.281,0.335
strong ONline,0.302,0.433,0.372,0.503
weak ONline,0.099,0.308,0.253,0.099
ONline,0.188,0.308,0.267,0.342
strong,0.263,0.318,0.280,0.539
weak,0.129,0.295,0.239,0.148
aggregated,0.217,0.288,0.277,0.360

Multiplex

wan,Overlapping Index,Three Cycles,Transitivity Triplets,Balance,Reciprocity
strong OFFline->strong ONline,0.517,0.214,0.251,0.281,0.455
strong OFFline->weak ONline,0.294,0.105,0.241,0.215,0.108
weak OFFline->strong ONline,0.145,0.114,0.155,0.306,0.117
weak OFFline->weak ONline,0.400,0.072,0.249,0.305,0.072
OFFline->ONline,0.708,0.160,0.235,0.263,0.334
strong OFFline->ONline,0.589,0.202,0.301,0.302,0.300
weak OFFline->ONline,0.281,0.107,0.204,0.327,0.091
OFFline->strong ONline,0.388,0.140,0.148,0.205,0.375
OFFline->weak ONline,0.415,0.091,0.189,0.175,0.138
strong ONline->strong OFFline,0.517,0.297,0.360,0.358,0.410
weak ONline->strong OFFline,0.294,0.222,0.196,0.266,0.275
strong ONline->weak OFFline,0.145,0.057,0.205,0.266,0.038
weak ONline->weak OFFline,0.400,0.084,0.292,0.238,0.067
ONline->OFFline,0.708,0.240,0.350,0.274,0.306
ONline->strong OFFline,0.589,0.239,0.236,0.255,0.492
ONline->weak OFFline,0.281,0.108,0.242,0.162,0.084
strong ONline->OFFline,0.388,0.177,0.308,0.347,0.189
weak ONline->OFFline,0.415,0.177,0.289,0.277,0.140
