bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,1.000,1.000,1.000,1.000,1.000,0,0
1,1.000,0.000,1.000,0.000,0.000,1,1
2,0.088,0.424,0.093,1.000,0.442,4,4
3,0.095,0.362,0.094,0.833,0.422,5,6
4,0.024,0.075,0.034,0.600,0.072,5,3
5,0.043,0.047,0.000,0.200,0.000,3,9
6,0.027,0.098,0.031,0.667,0.073,15,10
7,0.032,0.135,0.042,0.556,0.139,8,6
8,0.064,0.227,0.039,0.412,0.282,8,16
9,0.062,0.255,0.033,0.417,0.301,6,11
10,0.090,0.237,0.074,0.714,0.244,6,6
11,0.077,0.248,0.108,0.429,0.502,5,5
12,0.056,0.246,0.065,0.600,0.242,18,14
13,0.012,0.072,0.039,0.364,0.086,11,4
14,0.065,0.286,0.128,0.286,0.199,7,2
15,0.000,0.000,0.000,1.000,0.000,1,1
16,0.042,0.137,0.101,0.400,0.184,10,4
17,0.060,0.156,0.040,0.600,0.184,3,5
18,1.000,0.000,1.000,0.000,1.000,0,1
19,0.043,0.360,0.072,0.467,0.411,14,8
20,0.000,0.000,0.000,0.500,0.000,1,2
21,0.000,0.000,0.000,0.500,0.000,1,2
22,0.063,0.259,0.043,0.583,0.338,7,12
23,0.000,0.000,0.000,0.667,0.000,2,3
24,0.087,0.234,0.084,0.778,0.222,8,8
25,0.021,0.127,0.055,0.400,0.163,5,2
26,0.057,0.173,0.048,0.500,0.171,4,5
27,0.078,0.190,0.050,0.500,0.324,3,6
28,0.008,0.045,0.015,0.333,0.094,2,2
29,0.059,0.159,0.051,0.600,0.324,3,5
30,0.027,0.333,0.000,0.333,0.000,1,3
31,0.024,0.292,0.036,0.667,0.236,3,2
32,0.000,0.000,0.000,0.250,0.000,1,4
33,0.037,0.258,0.034,0.545,0.199,9,8
34,0.016,0.113,0.015,0.182,0.044,9,4
35,0.013,0.100,0.012,1.000,0.100,2,2
36,0.040,0.321,0.037,0.667,0.302,5,5
37,0.029,0.231,0.052,0.357,0.274,12,7
38,0.066,0.378,0.068,0.750,0.410,14,14
39,0.000,0.000,0.091,0.167,0.067,3,4
40,0.022,0.042,0.032,0.333,0.094,4,4
41,0.000,0.000,0.019,0.200,0.045,5,1
42,0.043,0.083,0.040,0.667,0.083,2,3
43,0.021,0.067,0.042,0.500,0.167,3,3
