wan

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.030,0.102,0.021,0.333,0.136,4,8
1,0.049,0.168,0.025,0.444,0.241,4,9
2,0.039,0.364,0.051,0.636,0.303,11,7
3,0.033,0.100,0.009,0.250,0.075,2,8
4,0.014,0.299,0.041,0.200,0.189,10,2
5,0.015,0.077,0.010,0.143,0.067,4,4
6,0.037,0.181,0.041,0.385,0.205,9,9
7,0.000,0.000,0.000,1.000,0.000,1,1
8,0.041,0.135,0.068,0.500,0.198,7,5
9,1.000,0.500,1.000,0.000,1.000,0,2
10,0.003,0.067,0.014,0.143,0.052,7,1
11,0.036,0.249,0.071,0.368,0.241,18,8
12,0.037,0.085,0.012,0.250,0.106,2,8
13,0.041,0.103,0.024,0.143,0.122,3,5
14,0.007,0.125,0.030,0.250,0.275,4,1
15,0.016,0.169,0.028,0.429,0.131,7,3
16,0.071,0.334,0.077,0.750,0.303,11,10
17,1.000,1.000,1.000,1.000,1.000,0,0
18,0.000,0.000,0.000,1.000,0.000,1,1
19,0.000,0.000,0.000,1.000,0.000,1,1
20,0.022,0.072,0.031,0.250,0.163,5,5
21,0.118,0.113,0.091,0.750,0.150,3,4
22,1.000,1.000,1.000,0.000,0.000,1,0
23,0.033,0.120,0.033,0.286,0.168,8,10
24,0.042,0.123,0.024,0.263,0.106,9,15
25,0.033,0.102,0.041,0.444,0.200,6,7
26,0.013,0.149,0.029,0.250,0.130,7,3
27,0.075,0.354,0.056,0.556,0.305,6,8
28,0.059,0.273,0.066,0.727,0.241,10,9
29,0.333,0.167,0.000,0.000,0.000,1,3
30,0.286,0.089,0.000,0.167,0.000,1,6
31,0.045,0.230,0.031,0.571,0.335,4,7
32,0.000,0.000,0.000,0.000,0.000,2,2
33,1.000,0.000,1.000,0.000,1.000,0,2
34,0.053,0.230,0.078,0.353,0.177,15,8
35,0.068,0.275,0.052,0.500,0.246,6,9
36,0.036,0.227,0.090,0.333,0.208,27,9
37,0.046,0.208,0.058,0.765,0.232,16,14
38,0.000,0.000,0.000,0.200,0.000,5,1
39,0.045,0.328,0.073,0.444,0.322,8,5
40,1.000,0.000,1.000,0.000,1.000,0,4
41,0.031,0.128,0.035,0.400,0.173,7,7
42,0.041,0.281,0.048,0.800,0.259,10,8
43,0.055,0.215,0.079,0.480,0.227,22,15
44,0.055,0.189,0.033,0.455,0.331,5,11
45,0.048,0.222,0.049,0.714,0.193,6,6
46,0.024,0.313,0.063,0.333,0.225,9,3
47,0.037,0.217,0.037,0.462,0.218,9,10
48,0.046,0.175,0.038,0.455,0.193,8,8
49,0.061,0.129,0.018,0.286,0.183,4,14
50,0.060,0.228,0.041,0.500,0.282,7,11
51,0.074,0.143,0.083,0.667,0.222,3,2
52,0.050,0.249,0.056,0.800,0.255,9,9
53,0.125,0.311,0.042,0.500,0.171,2,4
54,0.103,0.255,0.103,0.400,0.451,3,4
55,0.022,0.250,0.035,0.444,0.204,8,5
56,0.051,0.246,0.076,0.538,0.196,13,7
57,1.000,0.000,1.000,0.000,1.000,0,2
58,1.000,1.000,1.000,1.000,1.000,0,0
59,0.026,0.124,0.028,0.286,0.219,4,5
60,0.114,0.372,0.110,1.000,0.351,4,4
61,1.000,0.000,1.000,0.000,1.000,0,9
62,0.030,0.078,0.000,0.400,0.000,3,4
63,0.062,0.034,0.000,0.111,0.000,1,9
64,0.021,0.119,0.035,0.250,0.099,7,3
65,0.036,0.072,0.011,0.600,0.030,3,5
66,0.057,0.176,0.013,0.286,0.087,2,7
67,0.006,0.093,0.016,0.333,0.115,5,3
68,0.036,0.188,0.024,1.000,0.134,2,2
69,0.000,0.000,0.000,0.333,0.000,1,3
70,0.000,0.000,0.000,1.000,0.000,1,1
71,0.074,0.139,0.087,1.000,0.150,3,3
72,0.008,0.125,0.015,0.500,0.107,2,1
73,1.000,1.000,1.000,1.000,1.000,0,0
74,1.000,1.000,1.000,0.000,1.000,0,1
75,1.000,1.000,1.000,1.000,1.000,0,0
76,1.000,1.000,1.000,1.000,1.000,0,0
77,1.000,1.000,1.000,0.000,0.000,1,0
78,0.143,0.225,0.118,1.000,0.250,2,2
79,1.000,1.000,1.000,1.000,1.000,0,0

weak OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.021,0.086,0.113,0.105,0.064,75,9
1,0.026,0.118,0.017,0.333,0.089,9,11
2,0.041,0.147,0.020,0.211,0.081,9,14
3,0.027,0.079,0.008,0.167,0.059,4,10
4,0.027,0.093,0.030,0.059,0.140,8,10
5,0.053,0.006,0.000,0.000,0.000,1,16
6,0.013,0.073,0.037,0.056,0.178,11,8
7,1.000,0.000,1.000,0.000,0.000,1,4
8,0.013,0.060,0.000,0.286,0.000,2,7
9,0.006,0.079,0.123,0.038,0.070,79,3
10,0.024,0.054,0.009,0.083,0.017,4,9
11,0.026,0.138,0.014,0.133,0.060,7,10
12,0.017,0.095,0.012,0.143,0.072,7,9
13,0.017,0.066,0.011,0.100,0.101,4,7
14,0.008,0.066,0.106,0.026,0.052,74,4
15,1.000,0.000,1.000,0.000,1.000,0,5
16,1.000,0.000,1.000,0.000,1.000,0,5
17,0.006,0.050,0.000,0.200,0.000,1,5
18,1.000,0.000,1.000,0.000,1.000,0,3
19,1.000,0.000,1.000,0.000,1.000,0,3
20,0.000,0.000,0.019,0.167,0.048,3,11
21,0.000,0.000,0.000,0.200,0.000,1,5
22,0.000,0.000,0.000,0.000,0.000,1,3
23,0.030,0.103,0.004,0.125,0.017,5,13
24,0.023,0.121,0.042,0.200,0.085,21,9
25,0.012,0.124,0.023,0.071,0.104,9,6
26,0.012,0.147,0.002,0.143,0.007,2,6
27,0.029,0.051,0.000,0.000,0.000,7,7
28,0.016,0.106,0.009,0.333,0.030,7,9
29,0.019,0.034,0.006,0.083,0.025,4,9
30,0.012,0.028,0.031,0.000,0.112,5,4
31,0.010,0.020,0.013,0.091,0.073,4,8
32,0.015,0.022,0.013,0.000,0.067,3,5
33,0.013,0.069,0.005,0.167,0.083,3,4
34,0.000,0.000,0.000,0.000,0.000,2,6
35,0.083,0.040,0.000,0.167,0.000,2,5
36,0.009,0.008,0.005,0.000,0.025,5,7
37,0.012,0.038,0.005,0.111,0.018,4,6
38,0.009,0.050,0.044,0.067,0.038,27,5
39,1.000,0.000,1.000,0.000,1.000,0,5
40,1.000,0.000,1.000,0.000,1.000,0,4
41,0.023,0.029,0.000,0.000,0.000,3,11
42,0.016,0.177,0.034,0.200,0.168,12,6
43,0.012,0.024,0.008,0.077,0.032,5,9
44,0.025,0.127,0.034,0.235,0.155,11,10
45,1.000,0.000,1.000,0.000,1.000,0,4
46,1.000,0.000,1.000,0.000,1.000,0,7
47,0.026,0.083,0.022,0.200,0.098,8,10
48,0.030,0.060,0.019,0.125,0.065,8,10
49,0.026,0.050,0.000,0.000,0.000,1,9
50,0.022,0.112,0.022,0.278,0.106,11,12
51,0.000,0.000,0.000,0.000,0.000,1,6
52,0.125,0.025,0.056,0.000,0.125,2,5
53,0.000,0.000,0.000,0.000,0.000,1,4
54,1.000,0.000,1.000,0.000,1.000,0,3
55,0.006,0.102,0.003,0.143,0.009,3,5
56,1.000,0.000,1.000,0.000,0.000,1,6
57,0.000,0.000,0.000,0.000,0.000,1,6
58,1.000,0.000,1.000,0.000,1.000,0,4
59,0.007,0.014,0.008,0.125,0.050,2,7
60,1.000,0.000,1.000,0.000,1.000,0,4
61,0.026,0.131,0.058,0.200,0.159,20,10
62,0.015,0.058,0.011,0.143,0.037,3,5
63,1.000,0.000,1.000,0.000,1.000,0,11
64,0.012,0.027,0.013,0.000,0.142,2,7
65,0.007,0.042,0.009,0.000,0.031,4,4
66,0.071,0.029,0.000,0.000,0.000,3,5
67,0.000,0.000,0.000,0.000,0.000,1,5
68,1.000,0.000,1.000,0.000,1.000,0,5
69,1.000,0.000,1.000,0.000,1.000,0,3
70,0.000,0.000,0.000,0.200,0.000,1,5
71,0.007,0.029,0.009,0.111,0.029,5,5
72,0.000,0.000,0.000,0.000,0.000,1,4
73,1.000,0.000,1.000,0.000,1.000,0,3
74,1.000,0.000,1.000,0.000,1.000,0,4
75,1.000,0.000,1.000,0.000,1.000,0,3
76,1.000,0.000,1.000,0.000,1.000,0,4
77,1.000,0.000,1.000,0.000,1.000,0,4
78,1.000,0.000,1.000,0.000,1.000,0,4
79,1.000,0.000,1.000,0.000,1.000,0,3

OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.021,0.185,0.065,0.215,0.133,79,17
1,0.034,0.310,0.025,0.571,0.376,13,20
2,0.036,0.345,0.034,0.577,0.354,20,21
3,0.028,0.158,0.007,0.200,0.109,6,18
4,0.020,0.341,0.035,0.304,0.446,18,12
5,0.033,0.083,0.003,0.190,0.046,5,20
6,0.026,0.247,0.034,0.370,0.318,20,17
7,0.018,0.044,0.014,0.167,0.121,2,5
8,0.024,0.104,0.020,0.615,0.171,9,12
9,0.005,0.158,0.066,0.063,0.135,79,5
10,0.012,0.097,0.014,0.500,0.132,11,10
11,0.030,0.366,0.042,0.483,0.386,25,18
12,0.027,0.208,0.021,0.368,0.366,9,17
13,0.019,0.150,0.011,0.267,0.154,7,12
14,0.006,0.160,0.065,0.064,0.131,78,5
15,0.011,0.084,0.010,0.250,0.115,7,8
16,0.037,0.217,0.033,0.625,0.334,11,15
17,0.005,0.092,0.000,0.200,0.000,1,5
18,0.000,0.000,0.000,0.250,0.000,1,4
19,0.000,0.000,0.000,0.250,0.000,1,4
20,0.028,0.079,0.020,0.412,0.185,8,16
21,0.037,0.054,0.018,0.444,0.123,4,9
22,0.000,0.000,0.000,0.000,0.000,2,3
23,0.035,0.276,0.026,0.440,0.376,13,23
24,0.030,0.287,0.036,0.543,0.254,30,24
25,0.018,0.190,0.022,0.474,0.214,15,13
26,0.012,0.193,0.015,0.286,0.219,9,9
27,0.048,0.184,0.043,0.474,0.272,13,15
28,0.031,0.212,0.026,0.667,0.187,17,18
29,0.025,0.079,0.014,0.417,0.210,5,12
30,0.026,0.092,0.019,0.600,0.182,6,10
31,0.026,0.154,0.017,0.438,0.235,8,15
32,0.009,0.040,0.008,0.333,0.065,5,7
33,0.009,0.070,0.007,0.286,0.110,3,6
34,0.025,0.160,0.029,0.409,0.191,17,14
35,0.041,0.137,0.025,0.467,0.176,8,14
36,0.024,0.340,0.049,0.412,0.362,32,16
37,0.028,0.332,0.030,0.600,0.312,20,20
38,0.004,0.077,0.024,0.118,0.076,32,6
39,0.040,0.201,0.035,0.385,0.315,8,10
40,1.000,0.000,1.000,0.000,1.000,0,8
41,0.025,0.106,0.012,0.300,0.145,8,18
42,0.021,0.309,0.036,0.440,0.339,22,14
43,0.035,0.332,0.043,0.545,0.383,27,24
44,0.031,0.284,0.029,0.500,0.364,16,20
45,0.034,0.103,0.023,0.455,0.208,6,10
46,0.024,0.133,0.031,0.267,0.254,9,10
47,0.031,0.284,0.031,0.480,0.368,17,20
48,0.029,0.198,0.026,0.360,0.266,16,18
49,0.035,0.187,0.009,0.217,0.178,5,23
50,0.037,0.370,0.032,0.708,0.415,18,23
51,0.037,0.062,0.023,0.333,0.184,4,8
52,0.038,0.184,0.037,0.562,0.316,11,14
53,0.067,0.123,0.034,0.375,0.295,3,8
54,0.092,0.093,0.048,0.250,0.395,3,7
55,0.012,0.254,0.017,0.500,0.236,11,10
56,0.031,0.162,0.034,0.500,0.204,14,13
57,0.017,0.023,0.000,0.125,0.000,1,8
58,1.000,0.000,1.000,0.000,1.000,0,4
59,0.016,0.174,0.011,0.385,0.238,6,12
60,0.068,0.121,0.051,0.500,0.382,4,8
61,0.026,0.221,0.034,0.393,0.329,20,19
62,0.016,0.074,0.019,0.364,0.146,6,9
63,0.029,0.009,0.000,0.053,0.000,1,19
64,0.010,0.099,0.011,0.267,0.118,9,10
65,0.017,0.086,0.014,0.500,0.141,6,9
66,0.041,0.158,0.022,0.417,0.270,5,12
67,0.010,0.148,0.009,0.167,0.129,6,8
68,0.017,0.054,0.005,0.286,0.081,2,7
69,0.017,0.013,0.000,0.167,0.000,1,6
70,0.000,0.000,0.000,0.333,0.000,2,6
71,0.014,0.093,0.017,0.364,0.139,8,7
72,0.007,0.025,0.005,0.333,0.043,3,5
73,1.000,0.000,1.000,0.000,1.000,0,3
74,1.000,0.000,1.000,0.000,1.000,0,5
75,1.000,0.000,1.000,0.000,1.000,0,3
76,1.000,0.000,1.000,0.000,1.000,0,4
77,0.004,0.106,0.000,0.250,0.000,1,4
78,0.023,0.037,0.015,0.333,0.156,2,6
79,1.000,0.000,1.000,0.000,1.000,0,3

strong ON
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,1.000,0.000,1.000,0.000,1.000,0,1
1,0.111,0.331,0.076,0.500,0.311,3,3
2,0.109,0.245,0.095,0.500,0.243,7,5
3,0.000,0.000,0.167,0.250,0.167,2,3
4,0.054,0.338,0.119,0.286,0.270,7,2
5,0.065,0.104,0.105,0.167,0.186,4,3
6,0.000,0.000,0.143,0.200,0.167,2,4
7,1.000,0.000,1.000,0.000,1.000,0,1
8,0.056,0.236,0.119,0.429,0.247,7,3
9,0.000,0.000,0.000,0.500,0.000,1,2
10,0.069,0.086,0.049,0.750,0.114,3,4
11,0.081,0.183,0.113,0.429,0.362,5,5
12,0.106,0.164,0.038,0.286,0.125,3,6
13,1.000,1.000,1.000,1.000,1.000,0,0
14,0.000,1.000,0.000,0.000,0.000,1,0
15,0.014,0.200,0.037,0.250,0.156,4,1
16,0.085,0.273,0.090,0.500,0.233,8,7
17,1.000,1.000,1.000,1.000,1.000,0,0
18,1.000,1.000,1.000,0.000,1.000,0,1
19,1.000,1.000,1.000,0.000,0.000,1,0
20,1.000,0.000,1.000,0.000,1.000,0,1
21,0.167,0.250,0.200,0.667,0.150,3,2
