wan,Reciprocity,tc2,tc0,tc1,tp2,tp1,tp0,Balance
strong OFF,0.468,0.255,0.298,0.216,0.287,0.207,0.346,0.299
weak OFF,0.074,0.041,0.073,0.301,0.299,0.300,0.360,0.300
OFF,0.335,0.139,0.200,0.110,0.270,0.108,0.302,0.281
strong ON,0.503,0.276,0.302,0.309,0.351,0.310,0.433,0.372
weak ON,0.099,0.049,0.099,0.250,0.251,0.238,0.308,0.253
ON,0.342,0.115,0.188,0.126,0.255,0.122,0.308,0.267
strong,0.539,0.203,0.263,0.146,0.265,0.145,0.318,0.280
weak,0.148,0.081,0.129,0.186,0.236,0.177,0.295,0.239
all,0.360,0.153,0.217,0.085,0.265,0.083,0.288,0.277

Multiplex

wan,Overlapping Index,Reciprocity,tc2,tc0,tc1,tp2,tp1,tp0,Balance
strong OFF->strong ON,0.517,0.455,0.214,0.214,0.205,0.267,0.207,0.251,0.281
strong OFF->weak ON,0.294,0.108,0.161,0.105,0.213,0.214,0.220,0.241,0.215
weak OFF->strong ON,0.145,0.117,0.095,0.114,0.360,0.304,0.326,0.155,0.306
weak OFF->weak ON,0.400,0.072,0.038,0.072,0.345,0.304,0.315,0.249,0.305
OFF->ON,0.708,0.334,0.117,0.160,0.106,0.253,0.104,0.235,0.263
strong OFF->ON,0.589,0.300,0.219,0.202,0.319,0.289,0.352,0.301,0.302
weak OFF->ON,0.281,0.091,0.049,0.107,0.592,0.325,0.452,0.204,0.327
OFF->strong ON,0.388,0.375,0.099,0.140,0.093,0.196,0.092,0.148,0.205
OFF->weak ON,0.415,0.138,0.071,0.091,0.092,0.174,0.091,0.189,0.175
strong ON->strong OFF,0.517,0.410,0.249,0.297,0.631,0.343,0.497,0.360,0.358
weak ON->strong OFF,0.294,0.275,0.053,0.222,0.524,0.263,0.352,0.196,0.266
strong ON->weak OFF,0.145,0.038,0.165,0.057,0.721,0.265,3.330,0.205,0.266
weak ON->weak OFF,0.400,0.067,0.040,0.084,0.248,0.237,0.246,0.292,0.238
ON->OFF,0.708,0.306,0.118,0.240,0.157,0.262,0.159,0.350,0.274
ON->strong OFF,0.589,0.492,0.111,0.239,0.115,0.243,0.115,0.236,0.255
ON->weak OFF,0.281,0.084,0.055,0.108,0.106,0.161,0.109,0.242,0.162
strong ON->OFF,0.388,0.189,0.221,0.177,3.082,0.336,7.129,0.308,0.347
weak ON->OFF,0.415,0.140,0.064,0.177,0.827,0.274,0.513,0.289,0.277
