bms,Diameter,# edges,Reciprocity,# Edges in GC,# Nodes in GC,Avg. degree,Assortativity,Avg. path length,# nodes
strong real,14,675,0.631111111111,630,122,4.41176470588,0.431305923758,4.63243462945,153
weak real,9,756,0.272486772487,693,135,4.94117647059,0.0180675794456,3.85555555556,153
real,7,1420,0.623943661972,1402,150,9.28104575163,0.23792207109,2.99422818792,153
strong facebook,14,428,0.654205607477,319,87,2.79738562092,0.234761915247,5.19647153168,153
weak facebook,9,783,0.337164750958,742,138,5.11764705882,0.154470445108,3.78155083042,153
facebook,7,1201,0.59950041632,1192,150,7.84967320261,0.252756187798,3.25091722595,153
aggregated,7,1487,0.641560188299,1487,153,9.71895424837,0.195248832333,2.93739250086,153

wan,Diameter,# edges,Reciprocity,# Edges in GC,# Nodes in GC,Avg. degree,Assortativity,Avg. path length,# nodes
strong real,9,412,0.587378640777,390,64,5.15,0.184358054817,3.33705357143,80
weak real,5,521,0.165067178503,420,57,6.5125,0.297265651523,2.69674185464,80
real,5,930,0.513978494624,892,71,11.625,0.359541837997,2.28229376258,80
strong facebook,12,226,0.628318584071,188,49,2.825,0.199309549601,4.46768707483,80
weak facebook,7,465,0.215053763441,414,62,5.8125,0.351511311609,2.92173453199,80
facebook,5,690,0.495652173913,651,68,8.625,0.355625660922,2.5436786655,80
aggregated,5,1013,0.538993089832,985,73,12.6625,0.383686232352,2.24257990868,80
